,,,,,,,,,,10684,,MW capacity:,27407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reg_no,ref_no,company,site_location,subsite_name,county,mfg_date,original_permit_date,latest_permit_date,date_notes,quantity,capacity_bhp,capacity_kWe,total_capacity_kWe,manufacturer,model,equipment_type,tier,SCR,NOx_g_per_kWh,PM_g_per_kWh,NOx_lb_per_hr,CO_lb_per_hr,VOC_lb_per_hr,PM_lb_per_hr,SO2_lb_per_hr,NOx_uncontrolled_lb_per_hr,CO_uncontrolled_lb_per_hr,VOC_uncontrolled_lb_per_hr,PM_uncontrolled_lb_per_hr,NOx_controls,PM_controls,CO_controls,add_on_control,fuel_type,fuel_spec_raw,max_sulfur_wt_pct,fuel_throughput_limit_raw,operating_hr_per_year,possible_issues,additional_notes,transitory,exempt_from_permitting,
61610,GEN1-4,NOAA Wallops CDA Station,"35663 Chincoteague Road Wallops Island, Virginia",,Accomack,2012,1/31/2013,1/31/2013,,4,1474,1000,4000,Caterpillar,C32 ATAAC,emergency diesel genset,Tier 1,FALSE,25.67,0.82,56.6,30.7,14.6,1.8,3,,,,,None,,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,,,,FALSE,FALSE,
71804,5,Science Application International Corporation,"7990 Science Applications Court Vienna, Virginia 22182",,Fairfax,,2/27/2009,2/27/2009,,1,1030,750,750,Cummins,KTA 2300GS,emergency diesel genset,Tier 2,FALSE,9.56,,15.8,,,,,,,,,None,,,,diesel,,0.50%,,270,,,FALSE,FALSE,
71804,4-Jan,Science Application International Corporation,"7990 Science Applications Court Vienna, Virginia 22182",,Fairfax,,1/8/2004,2/27/2009,,4,1030,750,3000,Cummins,KTA 2300GS,emergency diesel genset,Tier 2,FALSE,9.56,,15.8,,,,,,,,,None,,,,diesel,,0.50%,,270,,,FALSE,FALSE,
71804,8-Jun,Science Application International Corporation,"7990 Science Applications Court Vienna, Virginia 22182",,Fairfax,,1/8/2004,2/27/2009,,3,1616,1200,3600,Waukesha,VHP6670DS,emergency diesel genset,Tier 2,FALSE,10.77,,28.5,,,,,,,,,,,,,diesel,,0.50%,,290,,,FALSE,FALSE,
71804,5-Jan,"Meridian Science 7990, LLC","7990 Science Applications Court Vienna, Virginia 22182",,Fairfax,,11/9/2016,11/9/2016,,5,1482,900,4500,Cummins,900DQFAD,emergency diesel genset,Tier 2,FALSE,9.88,,19.6,1.08,0.16,,,,,,,turbocharged engine and aftercooler,,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,,"same reg no as the permits from 2/27/2009, maybe they upgraded the engines and removed the previous 8 generators?",,FALSE,FALSE,
71804,8-Jun,"Meridian Science 7990, LLC","7990 Science Applications Court Vienna, Virginia 22182",,Fairfax,,11/9/2016,11/9/2016,,3,2200,1365,4095,Cummins,"1,365DQGAB",emergency diesel genset,Tier 2,FALSE,9.76,,29.37,2.4,0.87,,,,,,,turbocharged engine and aftercooler,,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,,"same reg no as the permits from 2/27/2009, maybe they upgraded the engines and removed the previous 8 generators?",,FALSE,FALSE,
72296,EG-16 thru EG-20,CoreSite Real Estate,"12100 Sunrise Valley Drive Reston, Fairfax County, VA 20191",,Fairfax,,1/31/2013,1/31/2013,,5,2937,2000,10000,Caterpillar,3516C,emergency diesel genset,Tier 2,FALSE,8.8,,38.8,3.95,1.13,,0.04,,,,,"electronic fuel injection, turbocharger, and after cooler",,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,500,,,FALSE,FALSE,
72296,EG-21 thru EG-28,CoreSite Real Estate,"12100 Sunrise Valley Drive Reston, Fairfax County, VA 20191",,Fairfax,,1/31/2013,1/31/2013,,8,3634,2500,20000,Caterpillar,3516C-HD,emergency diesel genset,Tier 2,FALSE,8.71,,48.02,6.01,1.2,,0.05,,,,,"electronic fuel injection, turbocharger, and after cooler",,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,500,,,FALSE,FALSE,
72296,"1, 2, 3, and 4",CoreSite Real Estate,"12100 Sunrise Valley Drive Reston, Fairfax County, VA 20191",,Fairfax,,11/23/2011,1/31/2013,,4,,2200,8800,Caterpillar,3516C,emergency diesel genset,Tier 2,FALSE,12.99,,63,5.6,1.1,,4.3,,,,,,,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,500,,,FALSE,FALSE,
72296,EG-13 thru EG-15,CoreSite Real Estate,"12100 Sunrise Valley Drive Reston, Fairfax County, VA 20191",,Fairfax,,11/23/2011,1/31/2013,,3,2937,2000,6000,Caterpillar,3516C,emergency diesel genset,Tier 2,FALSE,8.8,,38.8,3.95,1.13,,0.04,,,,,"electronic fuel injection, turbocharger, and after cooler",,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,500,,,FALSE,FALSE,
72367,EG1-2 through EG1-4,Verizon Business Network Services,"22001 Loudoun County Parkway Ashburn, VA20147",,Loudoun,,12/21/2005,2/26/2020,"unclear if these engines were all originally permitted in 2005, as this permit has been updated numerous times between then and 2020",7,2876,2000,14000,Caterpillar,3516B SR-4-HV,emergency diesel genset,Tier 2,FALSE,7.78,,34.3,2.23,,,,,,,,Caterpillar's low emission 'B' package,,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,156,original permit date may be inaccurate for all 7 engines,,FALSE,FALSE,
72368,"3,4,7,8",AOL,"7777 Infantry Ridge Road Manassas, Virginia 20109",,Prince William,,8/28/2009,8/28/2009,,4,2876,2000,8000,Caterpillar,3516B,emergency diesel genset,Tier 2 + SCR,TRUE,1.09,,4.802,,,,,48.02,,,,open loop SCR,,,Steuler CERNOx 3516B/2000 -14092 open-loop SCR system,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,,,"No lb/hr limit provided. NOx limit is 0.0343 lb/gal with SCR, and 0.343 lb/gal without SCR running. Used 140 gal/hr at 100% load from Caterpillar spec sheet. This may not apply to older units, but is probably a close estimate.",FALSE,FALSE,
72368,"1,2,5,6,9,10",AOL,"7777 Infantry Ridge Road Manassas, Virginia 20109",,Prince William,,7/15/1999,8/28/2009,,6,2876,2000,12000,Caterpillar,3516B,emergency diesel genset,Tier 2 + SCR,TRUE,1.09,,4.802,,,,,48.02,,,,open loop SCR,,,Steuler CERNOx 3516B/2000 -14092 open-loop SCR system,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,,,"No lb/hr limit provided. NOx limit is 0.0343 lb/gal with SCR, and 0.343 lb/gal without SCR running. Used 140 gal/hr at 100% load from Caterpillar spec sheet. This may not apply to older units, but is probably a close estimate.",FALSE,FALSE,
72368,RPU1-RPU3,AOL,"7777 Infantry Ridge Road Manassas, Virginia 20109",,Prince William,,7/15/1999,8/28/2009,,3,1940,1333,3999,Caterpillar,3516B rotary power,emergency diesel genset,Tier 1,FALSE,16.34,,48.02,,,,,,,,,,,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,,,"No lb/hr limit provided. NOx limit is 0.0343 lb/gal with SCR, and 0.343 lb/gal without SCR running. Used 140 gal/hr at 100% load from Caterpillar spec sheet. This may not apply to older units, but is probably a close estimate.",FALSE,FALSE,
72374,4-Mar,Comcast Cable Communications,"11101 University Boulevard Manassas, Virginia 20110",,Prince William,,3/27/2014,3/27/2014,,2,2206,1500,3000,Caterpillar,3512C,emergency diesel genset,Tier 2,FALSE,8.82,,29.18,,,,,,,,,,,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,500,,,FALSE,FALSE,
72375,"C110-GB, C120-GB, and C-GR","Digital Lafayette Chantilly, LLC","4030, 4040, and 4050 Lafayette Center Drive Buildings A, B, and C Chantilly, Virginia 20151",,Fairfax,,4/4/2014,4/4/2014,,3,,2000,6000,Cummins,2000DQKAB,emergency diesel genset,Tier 2,FALSE,8.73,,38.5,1.6,1.8,,,,,,,electronic fuel injection and turbocharged engines,,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,185,,,FALSE,FALSE,
72375,C-House Gen,"Digital Lafayette Chantilly, LLC","4030, 4040, and 4050 Lafayette Center Drive Buildings A, B, and C Chantilly, Virginia 20151",,Fairfax,,4/4/2014,4/4/2014,,1,418,275,275,Cummins,275DQHAA,emergency diesel genset,Tier 2,FALSE,5.44,,3.3,0.1,0.1,,,,,,,electronic fuel injection and turbocharged engines,,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,185,,,FALSE,FALSE,
72375,A-G1 through A-G3,"Digital Lafayette Chantilly, LLC","4030, 4040, and 4050 Lafayette Center Drive Buildings A, B, and C Chantilly, Virginia 20151",,Fairfax,,1/31/2006,4/4/2014,,3,,2000,6000,Caterpillar,3516B,emergency diesel genset,Tier 2,FALSE,9.32,,41.1,4,1.1,,,,,,,,,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,250,,,FALSE,FALSE,
72375,B-EG1 through B-EG4,"Digital Lafayette Chantilly, LLC","4030, 4040, and 4050 Lafayette Center Drive Buildings A, B, and C Chantilly, Virginia 20151",,Fairfax,,2/11/2011,4/4/2014,,4,2919,2000,8000,Cummins,,emergency diesel genset,Tier 2,FALSE,8.73,,38.5,1.6,1.8,,,,,,,,,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,185,,,FALSE,FALSE,
72375,B-EG105,"Digital Lafayette Chantilly, LLC","4030, 4040, and 4050 Lafayette Center Drive Buildings A, B, and C Chantilly, Virginia 20151",,Fairfax,,2/11/2011,4/4/2014,,1,470,275,275,Cummins,,emergency diesel genset,Tier 2,FALSE,5.44,,3.3,0.1,0.1,,,,,,,,,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,185,,,FALSE,FALSE,
73105,4-Jan,Freddie Mac,"544 Herndon Parkway, Herndon VA 20170",,Fairfax,,7/26/2007,7/26/2007,,4,2848,2000,8000,Caterpillar,3516B,emergency diesel genset,Tier 2,FALSE,9.33,,41.16,4.01,,,11.52,,,,,,,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,350,,,FALSE,FALSE,
73158,"S2,1-10",Qwest Communications Corporation,"22810 International Drive Sterling, Loudoun County, Virginia 20166",,Loudoun,,9/16/2003,9/16/2003,,10,,1500,15000,Cummins,1500DFLE,emergency diesel genset,Tier 1,FALSE,15.1,0.3,49.92,7.83,1.22,0.98,7.34,,,,,,,,,diesel,"The fuel shall meet the American Society for Testing and Materials, ASTM (D975) specifications for diesel fuel or distillate oil which meets the ASTM (D396) specifications for number 1 or 2 fuel oil, with maximum sulfur content per shipment not to exceed 0.5% by weight.",0.50%,,,,,FALSE,FALSE,
73158,"S1,1-3",Qwest Communications Corporation,"22810 International Drive Sterling, Loudoun County, Virginia 20166",,Loudoun,,6/29/2001,9/16/2003,,3,2876,2000,6000,Caterpillar,3516B,emergency diesel genset,Tier 1,FALSE,15.2,0.14,67.02,4.86,0.92,0.63,9.74,,,,,,,,,diesel,"The fuel shall meet the American Society for Testing and Materials, ASTM (D975) specifications for diesel fuel or distillate oil which meets the ASTM (D396) specifications for number 1 or 2 fuel oil, with maximum sulfur content per shipment not to exceed 0.5% by weight.",0.50%,,,,,FALSE,FALSE,
73160,DC2&3 EG13,"Cyxtera Communications, LLC","21110 Ridgetop Circle, Sterling, Virginia 20166 45901 Nokes Boulevard, Sterling, Virginia 20166 45845 Nokes Boulevard, Sterling, Virginia 20166",,Loudoun,,10/30/2019,10/30/2019,,1,3634,2500,2500,Caterpillar,3516C,emergency diesel genset,Tier 2,FALSE,8.72,0.07,48.07,8.01,1.2,0.41,0.04,,,,,"direct diesel injection, engine control module, turbocharger and charge air cooler.",,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,200,,,FALSE,FALSE,
73160,DC4-EG10 thru DC4-EG11,"Cyxtera Communications, LLC","21110 Ridgetop Circle, Sterling, Virginia 20166 45901 Nokes Boulevard, Sterling, Virginia 20166 45845 Nokes Boulevard, Sterling, Virginia 20166",,Loudoun,,1/30/2014,10/30/2019,,2,2919,2000,4000,Cummins,DQKAB,emergency diesel genset,Tier 2,FALSE,8.76,0.12,38.61,1.39,0.85,0.54,0.04,,,,,"direct diesel injection, engine control module, turbocharger and charge air cooler.",,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,200,,,FALSE,FALSE,
73160,DC4-EG 7 thru DC4-EG9,"Cyxtera Communications, LLC","21110 Ridgetop Circle, Sterling, Virginia 20166 45901 Nokes Boulevard, Sterling, Virginia 20166 45845 Nokes Boulevard, Sterling, Virginia 20166",,Loudoun,,1/19/2012,10/30/2019,,3,2919,2000,6000,Cummins,DQKAB,emergency diesel genset,Tier 2,FALSE,8.76,0.12,38.61,1.39,0.85,0.54,0.04,,,,,"direct diesel injection, engine control module, turbocharger and charge air cooler.",,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,200,,,FALSE,FALSE,
73160,DC4-EG 1 Thru DC4-EG6,"Cyxtera Communications, LLC","21110 Ridgetop Circle, Sterling, Virginia 20166 45901 Nokes Boulevard, Sterling, Virginia 20166 45845 Nokes Boulevard, Sterling, Virginia 20166",,Loudoun,,7/27/2007,10/30/2019,,6,2919,2000,12000,Cummins,DQKAB,emergency diesel genset,Tier 2,FALSE,7.46,0.07,32.89,1.35,1.48,0.32,0.04,,,,,"direct diesel injection, engine control module, turbocharger and charge air cooler.",,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,200,,,FALSE,FALSE,
73160,DC2&3-EG1 Thru DC2&3-EG5,"Cyxtera Communications, LLC","21110 Ridgetop Circle, Sterling, Virginia 20166 45901 Nokes Boulevard, Sterling, Virginia 20166 45845 Nokes Boulevard, Sterling, Virginia 20166",,Loudoun,,10/5/2000,10/30/2019,,5,1818,1250,6250,Caterpillar,3512B,emergency diesel genset,Tier 1,FALSE,17.32,0.39,47.74,9.33,1.28,1.08,0.02,,,,,,,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,200,,,FALSE,FALSE,
73160,DC2&3-EG6,"Cyxtera Communications, LLC","21110 Ridgetop Circle, Sterling, Virginia 20166 45901 Nokes Boulevard, Sterling, Virginia 20166 45845 Nokes Boulevard, Sterling, Virginia 20166",,Loudoun,,6/20/2007,10/30/2019,,1,2206,1250,1250,Caterpillar,3512C,emergency diesel genset,Tier 2,FALSE,10.52,0.2,28.98,3.95,0.71,0.54,0.03,,,,,"direct diesel injection, engine control module, turbocharger and charge air cooler.",,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,200,,,FALSE,FALSE,
73160,DC2&3-EG7 Thru DC2&3-EG12,"Cyxtera Communications, LLC","21110 Ridgetop Circle, Sterling, Virginia 20166 45901 Nokes Boulevard, Sterling, Virginia 20166 45845 Nokes Boulevard, Sterling, Virginia 20166",,Loudoun,,10/5/2000,10/30/2019,,6,2876,2000,12000,Caterpillar,3516B,emergency diesel genset,Tier 2,FALSE,9.33,0.21,41.16,4.01,1.19,0.91,0.03,,,,,,,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,200,,,FALSE,FALSE,
73162,,"Lemur Properties, LLC","1780 Business Center Drive Reston, VA 20190",,Fairfax,,7/14/2004,3/5/2010,,12,,2060,24720,Caterpillar,3516B rotary power,emergency diesel genset,Tier 2,FALSE,10.89,,49.44,,,,,,,,,140-degree Fahrenheit after cooler low emission package,,,,diesel,No. 2 fuel oil conforming with American Society for Testing and Materials standards for numbers 1 and 2 fuel oil and having a sulfur content not to exceed 0.5 percent by weight per shipment.,0.50%,,,,Emission limit specified as 0.024 lb/kWh. Converted to lb/hr using nameplate capacity,FALSE,FALSE,
73162,,"Lemur Properties, LLC","1780 Business Center Drive Reston, VA 20190",,Fairfax,,7/14/2004,3/5/2010,,6,,2060,12360,Caterpillar,3516B,emergency diesel genset,Tier 2,FALSE,10.89,,49.44,,,,,,,,,140-degree Fahrenheit after cooler low emission package,,,,diesel,No. 2 fuel oil conforming with American Society for Testing and Materials standards for numbers 1 and 2 fuel oil and having a sulfur content not to exceed 0.5 percent by weight per shipment.,0.50%,,,,Emission limit specified as 0.024 lb/kWh. Converted to lb/hr using nameplate capacity,FALSE,FALSE,
73170,,Exodus Communications,"Herndon, Fairfax County, Virginia.",,Fairfax,,11/22/2000,11/22/2000,,2,,1000,2000,Caterpillar,3508B,emergency diesel genset,Tier 1,FALSE,18.54,,40.87,2.97,,,,,,,,,,,,diesel,,0.50%,,300,,No emission limit for fuel specification specified. Emissions factors taken from another permit of a Cat 3508B (Reg. No. 73230),FALSE,FALSE,
73180,"EG3,4,7,8",Dupont Fabros Technologies,"8217 Linton Hall Road Bristow, VA 20136",,Prince William,,8/7/2008,8/7/2008,,4,2847,2000,8000,Caterpillar,3516B,emergency diesel genset,Tier 2 + SCR,TRUE,0.91,0.21,4,4,1.2,0.91,1,40,,,,"electronic fuel injection, turbocharged, after-cooled and the low NOx 'B' emission, SCR",,,SCR-Steuler Model CERNOx 3516B2000,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,,,40 lb/hr NOx limit without SCR operational,FALSE,FALSE,
73180,"EG1,2,5,6,9,10",Dupont Fabros Technologies,"8217 Linton Hall Road Bristow, VA 20136",,Prince William,,5/16/2001,8/7/2008,,6,2847,2000,12000,Caterpillar,3516B,emergency diesel genset,Tier 2 + SCR,TRUE,0.91,0.21,4,4,1.2,0.91,1,40,,,,"electronic fuel injection, turbocharged, after-cooled and the low NOx 'B' emission, SCR",,,SCR-Steuler Model CERNOx 3516B2000,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,,,40 lb/hr NOx limit without SCR operational,FALSE,FALSE,
73180,"RPU1,2,3",Dupont Fabros Technologies,"8217 Linton Hall Road Bristow, VA 20136",,Prince William,,5/16/2001,8/7/2008,,3,1940,1333,3999,Caterpillar,3516B rotary power,emergency diesel genset,Tier 2,FALSE,9.49,0.27,27.9,3.1,1.2,0.8,0.67,,,,,"electronic fuel injection, turbocharged, after-cooled and the low NOx 'B' emission package",,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,,,,FALSE,FALSE,
73199,"GENB1-A,B,C,R,D,E,L",Equinix,"Building DC3 44470 Chilum Place Ashburn (Loudoun County), Virginia 20147",,Loudoun,,4/28/2009,4/28/2009,,7,2876,2000,14000,Caterpillar,3516B SR-4B,emergency diesel genset,Tier 2 + SCR,TRUE,0.39,0.21,1.7,4.01,1.1,0.91,1.16,41.16,,,,closed loop SCR,,,Closed Loop SCR,diesel,"Does not exceed the American Society for Testing and Materials (ASTM) specification, D975, for grade low sulfur 2-D or grade 2-D S500; or, b. Has a maximum sulfur content not to exceed 0.05% by weight (500 ppm), and either a minimum cetane number of forty or maximum aromatic content of thirty five volume percent.",0.05%,,,,41.16 lb/hr NOx limit without SCR operational,FALSE,FALSE,
73200,EGU1 thru EGU3,Verizon Business Network Services,"7400 Infantry Ridge Road Manassas, Virginia 20109",,Prince William,,10/19/2006,10/19/2006,,3,2848,2000,6000,Caterpillar,3516B,emergency diesel genset,Tier 2,FALSE,9.34,0.2,41.2,4,1.1,0.9,0.9,,,,,"Caterpillar's low emission ""B"" package",,,,diesel,"DIESEL FUEL OIL which meets the American Society for Testing and Materials specification, D975, for grade low sulfur numbers 1 or 2 diesel fuel oil:",0.05%,,325.5714286,,,FALSE,FALSE,
73200,EGU4 thru EGU7,Verizon Business Network Services,"7400 Infantry Ridge Road Manassas, Virginia 20109",,Prince William,,10/19/2006,1/1/2007,,4,2848,2000,8000,Caterpillar,3516B,emergency diesel genset,Tier 2,FALSE,9.34,0.2,41.2,4,1.1,0.9,0.9,,,,,"Caterpillar's low emission ""B"" package",,,,diesel,"DIESEL FUEL OIL which meets the American Society for Testing and Materials specification, D975, for grade low sulfur numbers 1 or 2 diesel fuel oil:",0.05%,,325.5714286,,,FALSE,FALSE,
73230,4-Jan,Gannett Co.,"7950 Jones Branch Drive McLean, VA 22107",,Fairfax,1999,1/9/2009,1/9/2009,,4,1502,1000,4000,Caterpillar,3508B,emergency diesel genset,Tier 1,FALSE,18.54,,40.87,2.97,,,,,,,,,,,,diesel,"DIESEL FUEL OIL which meets the American Society for Testing and Materials specification, D975, for grade low sulfur numbers 1 or 2 diesel fuel oil:",0.05%,,,,,FALSE,FALSE,
73233,DC2EG-7 DC2EG-R,Equinix,"21691, 21701, 21711, 21715 and 21721 Filigree Court Ashburn, Virginia 20147",,Loudoun,,3/19/2024,3/19/2024,,2,2937,2000,4000,Caterpillar,3516C,emergency diesel genset,Tier 2,FALSE,8.81,0.14,38.85,3.9,1.14,0.62,,,,,,engine design,,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,100,,,FALSE,FALSE,
73233,"DC1EG-1, 2, 3",Equinix,"21691, 21701, 21711, 21715 and 21721 Filigree Court Ashburn, Virginia 20147",,Loudoun,,10/31/2002,3/19/2024,,3,1180,800,2400,Caterpillar,3412C SR4B,emergency diesel genset,Tier 2,FALSE,10.62,0.4,18.73,4.15,0.68,0.7,,,,,,,,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,500,,,FALSE,FALSE,
73233,DC1EG-4,Equinix,"21691, 21701, 21711, 21715 and 21721 Filigree Court Ashburn, Virginia 20147",,Loudoun,,2/10/2010,3/19/2024,,1,1108,750,750,Caterpillar,3412C SR4B,emergency diesel genset,Tier 2,FALSE,10.65,0.31,17.61,3.23,0.6,0.52,,,,,,,,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,500,,,FALSE,FALSE,
73233,"DC2EG-1, 2, 3, 4, 5, 6",Equinix,"21691, 21701, 21711, 21715 and 21721 Filigree Court Ashburn, Virginia 20147",,Loudoun,,10/31/2002,3/19/2024,,6,2876,2000,12000,Caterpillar,3516B SR4B,emergency diesel genset,Tier 1,FALSE,15.88,0.14,70.02,4.85,1.32,0.63,,,,,,,,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,500,,,FALSE,FALSE,
73233,"DC4EG-A, B, C, D, E, R, S",Equinix,"21691, 21701, 21711, 21715 and 21721 Filigree Court Ashburn, Virginia 20147",,Loudoun,,10/13/2006,3/19/2024,,7,3634,2500,17500,Caterpillar,3516C SR5,emergency diesel genset,Tier 2,FALSE,8.73,0.07,48.11,5.86,1.17,0.4,,,,,,,,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,500,,,FALSE,FALSE,
73233,"DC5EG-A, B, C, D, E, R, S",Equinix,"21691, 21701, 21711, 21715 and 21721 Filigree Court Ashburn, Virginia 20147",,Loudoun,,11/7/2007,3/19/2024,,7,3634,2500,17500,Caterpillar,3516C SR5,emergency diesel genset,Tier 2 + SCR,TRUE,0.87,0.07,4.81,5.86,1.17,0.4,,,,,,closed loop SCR,,,SCR – Miratech (closed loop) NOx control system,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,500,,,FALSE,FALSE,
73233,"DC6EG-A, B, R, C, D, E",Equinix,"21691, 21701, 21711, 21715 and 21721 Filigree Court Ashburn, Virginia 20147",,Loudoun,,4/8/2010,3/19/2024,,6,4423,3000,18000,Caterpillar,C175-16 SR5,emergency diesel genset,Tier 2 + SCR,TRUE,0.91,0.09,6.01,13,2.56,0.6,,,,,,closed loop SCR,,,SCR – Miratech (closed loop) NOx control system,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,500,,,FALSE,FALSE,
73233,DC11EG-1-9,Equinix,"21691, 21701, 21711, 21715 and 21721 Filigree Court Ashburn, Virginia 20147",,Loudoun,,3/31/2015,3/19/2024,,9,3634,2500,22500,Caterpillar,3516-HD,emergency diesel genset,Tier 2,FALSE,8.72,0.07,48.07,6.01,1.2,0.41,,,,,,"electronic fuel injection, turbocharged engine and aftercooler",,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,100,,,FALSE,FALSE,
73240,G13,21571 Beaumeade Circle LLC,"21571 Beaumeade Circle Ashburn, Virginia 20147",,Loudoun,,9/20/2024,9/20/2024,,1,2937,2000,2000,Caterpillar,3516C,emergency diesel genset,Tier 2,FALSE,8.81,0.14,38.85,3.95,1.14,0.62,1,,,,,engine design,,,,diesel,"Does not exceed the American Society for Testing and Materials (ASTM) specification, D975, for grade ultra-low sulfur 2-D or grade 2-D S15, or",0.00%,,200,,,FALSE,FALSE,
73240,G1 – G6,21571 Beaumeade Circle LLC,"21571 Beaumeade Circle Ashburn, Virginia 20147",,Loudoun,,11/13/2002,9/20/2024,,6,2885,2000,12000,Caterpillar,3516C,emergency diesel genset,Tier 2,FALSE,9.34,0.2,41.2,4,1.1,0.9,1,,,,,,,,,diesel,"Does not exceed the American Society for Testing and Materials (ASTM) specification, D975, for grade low sulfur 2-D or grade 2-D S500",0.05%,,200,,,FALSE,FALSE,
73240,"G7 – G9, G11 – G12",21571 Beaumeade Circle LLC,"21571 Beaumeade Circle Ashburn, Virginia 20147",,Loudoun,,6/20/2007,9/20/2024,,5,2937,2000,10000,Caterpillar,3516C,emergency diesel genset,Tier 2,FALSE,9.07,0.05,40,3.43,0.91,0.23,1,,,,,"direct diesel injection, engine control module, turbocharger, and charge air cooler",,,,diesel,"Does not exceed the American Society for Testing and Materials (ASTM) specification, D975, for grade low sulfur 2-D or grade 2-D S500",0.05%,,200,,,FALSE,FALSE,
