,,,,,,,,,,10684,,MW capacity:,27407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reg_no,ref_no,company,site_location,subsite_name,county,mfg_date,original_permit_date,latest_permit_date,date_notes,quantity,capacity_bhp,capacity_kWe,total_capacity_kWe,manufacturer,model,equipment_type,tier,SCR,NOx_g_per_kWh,PM_g_per_kWh,NOx_lb_per_hr,CO_lb_per_hr,VOC_lb_per_hr,PM_lb_per_hr,SO2_lb_per_hr,NOx_uncontrolled_lb_per_hr,CO_uncontrolled_lb_per_hr,VOC_uncontrolled_lb_per_hr,PM_uncontrolled_lb_per_hr,NOx_controls,PM_controls,CO_controls,add_on_control,fuel_type,fuel_spec_raw,max_sulfur_wt_pct,fuel_throughput_limit_raw,operating_hr_per_year,possible_issues,additional_notes,transitory,exempt_from_permitting,
30142,EG4-EG6,"TECfusions Clarksville, LLC","250 Burlington Drive, Clarksville VA 23927",,Mecklenburg,7-Dec,2/9/2012,2/12/2025,"""New Source Review Permits dated February 9, 2012 and the permit application dated July 9, 2024, including supplemental information dated December 11, 2024 and January 15, 2025""",3,3286,2250,6750,Caterpillar,3516B,emergency diesel genset,Tier 2,FALSE,9.35,,46.4,9.4,,,,,,,,"electronic fuel injection, turbocharged engine, and aftercooler",,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15  diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,100,,,FALSE,FALSE,
30142,EG7,"TECfusions Clarksville, LLC","250 Burlington Drive, Clarksville VA 23927",,Mecklenburg,7-Mar,2/9/2012,2/12/2025,"""New Source Review Permits dated February 9, 2012 and the permit application dated July 9, 2024, including supplemental information dated December 11, 2024 and January 15, 2025""",1,3286,2250,2250,Caterpillar,3516B,emergency diesel genset,Tier 2,FALSE,9.35,,46.4,9.4,,,,,,,,"electronic fuel injection, turbocharged engine, and aftercooler",,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15  diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,100,,,FALSE,FALSE,
30142,EGHS,"TECfusions Clarksville, LLC","250 Burlington Drive, Clarksville VA 23927",,Mecklenburg,7-Aug,2/9/2012,2/12/2025,"""New Source Review Permits dated February 9, 2012 and the permit application dated July 9, 2024, including supplemental information dated December 11, 2024 and January 15, 2025""",1,1214,800,800,Caterpillar,2671,emergency diesel genset,Tier 2,FALSE,9.64,,17,,,,,,,,,"electronic fuel injection, turbocharged engine, and aftercooler",,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15  diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,100,,,FALSE,FALSE,
30142,EGLS,"TECfusions Clarksville, LLC","250 Burlington Drive, Clarksville VA 23927",,Mecklenburg,7-Oct,2/9/2012,2/12/2025,"""New Source Review Permits dated February 9, 2012 and the permit application dated July 9, 2024, including supplemental information dated December 11, 2024 and January 15, 2025""",1,398,250,250,Caterpillar,C DM8501,emergency diesel genset,Tier 2,FALSE,,,,,,,,,,,,,,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15  diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,100,,,FALSE,FALSE,
11541,3,"COPT Property Management Services, LLC. ","Technology Park Drive, at the Regional Business 
Technology Park in Lebanon, Russell County, Virginia",,Russell,,5/16/2008,5/16/2008,,1,2500,1500,1500,Caterpillar,,emergency diesel genset,Tier 1,FALSE,19.32,1.36,63.9,13.77,5.07,4.49,4.2,,,,,,,,,diesel,"The distillate oil consumed bythe generators shall meet ASTM 0396-76 specifications for numbers 1 or 2fuel oil, with a maximum sulfur content of 0.5 weight percent.",0.50%,,500,,,FALSE,FALSE,
11541,2,"COPT Property Management Services, LLC. ","Technology Park Drive, at the Regional Business 
Technology Park in Lebanon, Russell County, Virginia",,Russell,,2/13/2008,5/16/2008,,1,2500,1500,1500,Caterpillar,,emergency diesel genset,Tier 1,FALSE,19.32,1.36,63.9,13.77,5.07,4.49,4.2,,,,,,,,,diesel,"The distillate oil consumed bythe generators shall meet ASTM 0396-76 specifications for numbers 1 or 2fuel oil, with a maximum sulfur content of 0.5 weight percent.",0.50%,,500,,,FALSE,FALSE,
11541,1,"COPT Property Management Services, LLC. ","Technology Park Drive, at the Regional Business 
Technology Park in Lebanon, Russell County, Virginia",,Russell,,2/26/2007,5/16/2008,,1,2500,1500,1500,Caterpillar,,emergency diesel genset,Tier 1,FALSE,19.32,1.36,63.9,13.77,5.07,4.49,4.2,,,,,,,,,diesel,"The distillate oil consumed bythe generators shall meet ASTM 0396-76 specifications for numbers 1 or 2fuel oil, with a maximum sulfur content of 0.5 weight percent.",0.50%,,500,,,FALSE,FALSE,
11790,EG01-EG06,"DP Facilities Inc. South, LLC","5978 Windswept Blvd, Wise, Virginia",,Wise,,8/23/2016,8/23/2016,,6,4060,2500,15000,Cummins,QSK78-G12,emergency diesel genset,Tier 2,FALSE,9.74,0.07,53.7,3.85,1.29,0.36,,,,,,"turbocharged engines, charge air coolers, and the use of good operating practices and performing appropriate maintenance in accordance with the manufacturer recommendations",,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15  diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,500,,,FALSE,FALSE,
11790,EG07,"DP Facilities Inc. South, LLC","5978 Windswept Blvd, Wise, Virginia",,Wise,,8/23/2016,8/23/2016,,1,967,600,600,Cummins,QSK19-G8,emergency diesel genset,Tier 2,FALSE,9.67,0.13,12.79,1.08,0.28,0.17,,,,,,"turbocharged engines, charge air coolers, and the use of good operating practices and performing appropriate maintenance in accordance with the manufacturer recommendations",,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15  diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,500,,,FALSE,FALSE,
21527,ENG161– ENG175,Microsoft Corporation – East Coast Data Center,"101 Herbert Drive near Boydton, Virginia",,Mecklenburg,2023,5/3/2022,9/19/2023,,15,3633,2500,37500,Caterpillar,3516C,emergency diesel genset,Tier 2,FALSE,8.71,0.07,48,6.1,1.2,0.4,,,,,,electronic fuel injection and aftercooler,,,,diesel,DIESEL which meets the ASTM D975 specification for Grades 1 or 2: Maximum sulfur content per shipment:  0.0015% ,0.00%,,,,,FALSE,FALSE,
